,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,0.040012550354003903,0.0011418171118036018,0.01150970458984375,0.00016127647805594568,gini,7,4,random,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_split': 4, 'splitter': 'random'}",0.8573079145002888,0.8649219467401285,0.8453406603641782,0.8481692701876188,0.8743798024149286,0.8580239188414286,0.010710644464909106,42
18,0.3104668617248535,0.0015518151040463412,0.010947179794311524,0.00020508695773917626,gini,5,2,best,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'splitter': 'best'}",0.8975096646588152,0.8980305953075233,0.9105890922334517,0.9035377038810826,0.9088999497693958,0.9037134011700537,0.0053849217762575695,34
19,0.034039545059204104,0.0004131886398109408,0.011327123641967774,0.0002068877463998783,gini,5,2,random,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 2, 'splitter': 'random'}",0.7772051244293918,0.8140265177948359,0.7980074496252749,0.8240768667327331,0.8055021572899314,0.8037636231744333,0.01587113581466334,46
20,0.31003966331481936,0.0015019492971430767,0.01097855567932129,0.00019501040143583403,gini,5,3,best,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 3, 'splitter': 'best'}",0.8975096646588152,0.8980305953075233,0.9105890922334517,0.9035377038810826,0.9088999497693958,0.9037134011700537,0.0053849217762575695,34
21,0.03388886451721192,0.0004501867920339864,0.011291742324829102,0.00021300882140233094,gini,5,3,random,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 3, 'splitter': 'random'}",0.7772051244293918,0.8140265177948359,0.7980074496252749,0.8240768667327331,0.8055021572899314,0.8037636231744333,0.01587113581466334,46
22,0.30940914154052734,0.0013349068635354659,0.010932302474975586,0.00021712855265302507,gini,5,4,best,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 4, 'splitter': 'best'}",0.8975096646588152,0.8980305953075233,0.9105890922334517,0.9035377038810826,0.9088999497693958,0.9037134011700537,0.0053849217762575695,34
23,0.03456015586853027,0.001083101323051464,0.011307096481323243,0.00019163554441220963,gini,5,4,random,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_split': 4, 'splitter': 'random'}",0.7772051244293918,0.8140265177948359,0.7980074496252749,0.8240768667327331,0.8055021572899314,0.8037636231744333,0.01587113581466334,46
24,0.7551674842834473,0.016930387151025735,0.01189718246459961,0.0002468972648338977,entropy,,2,best,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'splitter': 'best'}",0.9673196713911709,0.9788479446587733,0.9808877655092901,0.9800807417594606,0.9800888888888889,0.9774450024415169,0.005104516638892183,1
25,0.06826677322387695,0.001940126136181375,0.012605047225952149,0.00029770577117214133,entropy,,2,random,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 2, 'splitter': 'random'}",0.9614152263188772,0.9779786432717444,0.9769687306227302,0.9770038548451415,0.9778981004793184,0.9742529111075623,0.006433008682336966,8
26,0.7555590152740479,0.01651146272424831,0.011841583251953124,0.0003285336528271524,entropy,,3,best,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_split': 3, 'splitter': 'best'}",0.9661062906724512,0.9792026961110373,0.9807521731417421,0.9789216773907257,0.9794666666666667,0.9768899007965246,0.005428079874536737,3
